,sentence1,sentence2,pronoun,referent,wrong_referent
148,The enthusiastic heart circulated blood with a clear intention,It was a rhythmic organ,It,heart,blood
149,The bee examined the abundant flower,It was offering nectar,It,flower,bee
150,The students memorized the books,They were providing new insights,They,books,students
151,The energetic birds reached the seeds,They were a juicy delight,They,seeds,birds
152,The resourceful sailors slid off the boats,They were avoiding capsizing,They,sailors,boats
153,The sniper fired the terrorist,He was a ruthless warlord,He,terrorist,sniper
154,The determined sailors sprang from the boats,They were having technical problems,They,boats,sailors
155,The hard-working students discussed the books,They were filled with knowledge,They,books,students
156,The sailors dove off the rickety boats,They were not in control,They,boats,sailors
157,The accurate sniper executed the terrorist,He was a talented shooter,He,sniper,terrorist
158,The skillful heart pumped blood that reduced inflammation,It was a cleansing fluid,It,blood,heart
159,The toned heart pumped blood with unwavering attention,It was a resilient muscle,It,heart,blood
160,The ambitious students learned from the books,They were outdated,They,books,students
161,The untiring heart drove energy-providing blood with unwavering attention,It was a unwavering muscle,It,heart,blood
162,The birds swooped down to the tempting seeds,They were exploring their surroundings,They,birds,seeds
163,The lucky sailors escaped off the boats,They were malfunctioning,They,boats,sailors
164,The untiring heart drove sustaining blood that rejuvenated cells,It was a vitalizing fluid,It,blood,heart
165,The sniper fired the ruthless terrorist,He was a precise killer,He,sniper,terrorist
166,The acrobatic birds experimented with the seeds,They were a quick snack,They,seeds,birds
167,The winning sniper fired the terrorist,He was a top shooter,He,sniper,terrorist
168,The birds tried the ripe seeds,They were not giving up,They,birds,seeds
169,The eager students studied the biography books,They were eager to learn,They,students,books
170,The students learned from the books,They were visually stunning,They,books,students
171,The quick heart pushed immune-boosting blood that sustained life,It was a crucial fluid,It,blood,heart
172,The passionate people organized a sit-in against the government,They were finding innovative solutions,They,people,government
173,The eager students read over the books,They were visually stunning,They,books,students
174,The bee perched on the flowering flower,It was tireless,It,bee,flower
175,The familia birds tried the crisp seeds,They were a juicy food,They,seeds,birds
176,The eager bee gathered pollen from the flower,It was rare,It,flower,bee
177,The storm caused a delay for the scheduled flight,It was putting lives in peril,It,storm,flight
178,The knife severed the construction fence with one quick strike,It was a reliable implement,It,knife,fence
179,The pecking birds chose the seeds,They were full of flavor,They,seeds,birds
180,The birds searched for the difficult-to-reach seeds,They were satisfying,They,seeds,birds
181,The resourceful sniper took aim the terrorist,He was a top killer,He,sniper,terrorist
182,The accurate sniper neutralized the terrorist,He was a talented shooter,He,sniper,terrorist
183,The skilled bee sipped nectar from the symmetrical flower,It was gathering nectar,It,bee,flower
184,The treacherous storm pounded the flight,It was carrying essential supplies,It,flight,storm
185,The fearless heart pushed blood that reduced inflammation,It was a life-renewing fluid,It,blood,heart
186,The birds plucked the seeds,They were wholesome,They,seeds,birds
187,The precise sniper fired the terrorist,He was a top shooter,He,sniper,terrorist
188,The relentless storm suspended the flight,It was carrying cargo,It,flight,storm
189,The sniper took out the terrorist,He was a brutal dictator,He,terrorist,sniper
190,The hardworking students memorized the thought-provoking books,They were preparing for their exams,They,students,books
191,The people took to the streets against the government,They were engaging in torture,They,government,people
192,The dull knife cut through the weak fence surrounding the property,It was a obstructive and imposing,It,fence,knife
193,The innovative birds feasted on the seeds,They were having a delicious meal,They,birds,seeds
194,The precision knife sliced through the fence blocking the path,It was separating the yards,It,fence,knife
195,The accurate sniper took down the dangerous terrorist,He was a vicious guy,He,terrorist,sniper
196,The sudden storm posed a threat to the flight,It was carrying a VIP,It,flight,storm
197,The people formed a human chain against the government,They were covering up scandals,They,government,people
198,The bee hovered above the alluring flower,It was sipping nectar,It,bee,flower
199,The sniper eliminated the dangerous terrorist,He was a resourceful killer,He,sniper,terrorist
200,The bee worked on the pristine flower,It was supplying nectar,It,flower,bee
201,The outraged people held a hunger strike against the out-of-touch government,They were neglecting public health,They,government,people
202,The storm frightened the morning flight,It was creating dangerous conditions,It,storm,flight
203,The toned heart circulated blood with unwavering attention,It was a unwavering muscle,It,heart,blood
204,The sniper fired the terrorist,He was a ruthless human rights abuser,He,terrorist,sniper
205,The precise sniper took down the dangerous terrorist,He was a successful sharpshooter,He,sniper,terrorist
206,The resourceful sniper took out the dangerous terrorist,He was a veteran assassin,He,sniper,terrorist
207,The unstoppable heart pushed blood with resilience,It was a focused organ,It,heart,blood
208,The chirpy birds foraged for the seeds,They were a dessert,They,seeds,birds
209,The dedicated students read over the ancient books,They were enhancing their understanding,They,students,books
210,The energetic people staged a walkout against the government,They were fighting for freedom,They,people,government
211,The proactive people took action against the unjust government,They were denying basic freedoms,They,government,people
212,The adventurous bee inspected the towering flower,It was obtaining nectar,It,bee,flower
213,The hard-working bee approached the flower,It was attracting many pollinators,It,flower,bee
214,The storm devastated the international flight,It was creating dangerous conditions,It,storm,flight
215,The sniper took out the terrorist,He was a precise assassin,He,sniper,terrorist
216,The people marched in solidarity against the unrepresentative government,They were sending a message,They,people,government
217,The hardworking students explored the useful books,They were containing valuable information,They,books,students
218,The outraged people rallied against the government,They were pushing for change,They,people,government
219,The creative heart beat necessary blood that sustained life,It was a life-invigorating fluid,It,blood,heart
220,The quick-witted birds picked at the difficult-to-reach seeds,They were in a rush,They,birds,seeds
221,The knife punctured the construction fence with minimal effort,It was surprisingly effective,It,knife,fence
222,The powerful heart pushed blood-pressure-controlling blood that reduced inflammation,It was a life-invigorating liquid,It,blood,heart
223,The sniper assassinated the terrorist,He was a dangerous dictator,He,terrorist,sniper
224,The clever bee flew over the flower,It was yielding nectar,It,flower,bee
225,The sturdy heart beat blood with great force,It was a trained muscle,It,heart,blood
226,The unswerving heart beat revitalizing blood that rejuvenated cells,It was a critical liquid,It,blood,heart
227,The storm obstructed the commercial flight,It was creating dangerous conditions,It,storm,flight
228,The bold sailors leaped off the boats,They were overworked,They,sailors,boats
229,The accurate sniper targeted the terrorist,He was a top sharpshooter,He,sniper,terrorist
230,The sniper took aim the terrorist,He was a brutal cyber criminal,He,terrorist,sniper
231,The trained sailors slid off the boats,They were not built well,They,boats,sailors
232,The determined students researched the books,They were difficult to understand,They,books,students
233,The sailors vaulted off the boats,They were handling the rough seas,They,sailors,boats
234,The enthusiastic students examined the humorous books,They were stretching their minds,They,students,books
235,The people organized a movement against the government,They were violating election laws,They,government,people
236,The enthusiastic students analyzed the enriching books,They were providing essential knowledge,They,books,students
237,The observant birds chirped and ate the seeds,They were a fun food,They,seeds,birds
238,The people organized a protest against the government,They were pushing for change,They,people,government
239,The serrated knife cut through the fence blocking the path,It was rusted and weak,It,fence,knife
240,The proactive people shouted their demands against the out-of-touch government,They were demanding a say,They,people,government
241,The bold sailors abandoned the boats,They were not safe,They,boats,sailors
242,The brutal storm pounded the flight,It was carrying cargo,It,flight,storm
243,The skilled bee was focused on the pretty flower,It was generating pollen,It,flower,bee
244,The efficient bee perched on the flower,It was loaded with pollen,It,flower,bee
245,The heart moved blood that aided digestion,It was a nourishing fluid,It,blood,heart
246,The chaotic storm forced the flight,It was carrying a VIP,It,flight,storm
247,The precise sniper took out the terrorist,He was a top shooter,He,sniper,terrorist
248,The fierce storm delayed the flight,It was carrying important documents,It,flight,storm
249,The skilled bee hovered over the fruitful flower,It was searching for nectar,It,bee,flower
250,The durable knife scratched the fence rapidly,It was separating the fields,It,fence,knife
251,The resourceful sniper took out the terrorist,He was a veteran killer,He,sniper,terrorist
252,The adventurous students scrutinized the books,They were divisive,They,books,students
253,The sniper executed the terrorist,He was a ruthless killer,He,terrorist,sniper
254,The heavy-duty knife cut through the fence easily,It was natural and organic,It,fence,knife
255,The storm confused the international flight,It was carrying cargo,It,flight,storm
256,The storm affected the international flight,It was putting lives in peril,It,storm,flight
257,The observant birds chased the tough seeds,They were crunchy and satisfying,They,seeds,birds
258,The powerful knife sliced through the weak fence separating the yards,It was a weathered and worn,It,fence,knife
259,The birds nibbled on the seeds,They were looking for nourishment,They,birds,seeds
260,The heavy-duty knife scratched the weak fence with precision,It was a reliable blade,It,knife,fence
261,The precise sniper killed the terrorist,He was a talented sharpshooter,He,sniper,terrorist
262,The durable knife scraped the fence near the garden,It was easily cut,It,fence,knife
263,The persistent students memorized the intricate books,They were difficult to understand,They,books,students
264,The students reinterpreted the intricate books,They were covering advanced topics,They,books,students
265,The sniper fired the terrorist,He was a winning marksman,He,sniper,terrorist
266,The fearless people organized a sit-in against the inhumane government,They were violating civil liberties,They,government,people
267,The knife scraped the parking fence with minimal effort,It was precise and effective,It,knife,fence
268,The agile bee perched on the alluring flower,It was loaded with pollen,It,flower,bee
269,The active birds ate the seeds,They were flavorful,They,seeds,birds
270,The proactive people shouted their demands against the dismissive government,They were suppressing religious freedoms,They,government,people
271,The robust heart pushed cleansing blood that rejuvenated cells,It was a muscle-nourishing liquid,It,blood,heart
272,The storm delayed the commercial flight,It was making road conditions hazardous,It,storm,flight
273,The precise sniper took down the terrorist,He was a successful marksman,He,sniper,terrorist
274,The sniper targeted the dangerous terrorist,He was a accurate marksman,He,sniper,terrorist
275,The imaginative bee hovered above the flower,It was an untouched paradise,It,flower,bee
276,The winning sniper assassinated the terrorist,He was a veteran assassin,He,sniper,terrorist
277,The brave bee alighted on the delicious flower,It was seeking quality nectar,It,bee,flower
278,The eager students absorbed the intricate books,They were experiencing new cultures,They,students,books
279,The activist people organized a flash mob against the unrepresentative government,They were censoring the media,They,government,people
280,The bee was determined to find the flower,It was magnificent,It,flower,bee
281,The active bee buzzed the flower,It was attracting attention,It,flower,bee
282,The healthy heart moved blood that maintained life,It was a sustaining fluid,It,blood,heart
283,The strong bee hovered over the pretty flower,It was in need of pollen,It,bee,flower
284,The proactive people formed a human chain against the government,They were suppressing religious freedoms,They,government,people
285,The brutal storm destroyed the flight,It was carrying cargo,It,flight,storm
286,The students scrutinized the useful books,They were containing valuable information,They,books,students
287,The efficient bee arrived on the pristine flower,It was offering nectar,It,flower,bee
288,The dull knife severed the school fence blocking the path,It was a separating the fields,It,fence,knife
289,The hardworking students analyzed the enriching books,They were rich with meaning,They,books,students
290,The storm impacted the commercial flight,It was putting lives in peril,It,storm,flight
291,The skillful heart drove blood with a clear intention,It was a resilient organ,It,heart,blood
292,The sniper targeted the terrorist,He was a notorious human rights violator,He,terrorist,sniper
293,The innovative people started a petition against the unjust government,They were promoting unethical behavior,They,government,people
294,The peaceful people organized a movement against the unresponsive government,They were not backing down,They,people,government
295,The resourceful sniper assassinated the dangerous terrorist,He was a successful killer,He,sniper,terrorist
296,The productive bee inspected the pretty flower,It was looking for pollen,It,bee,flower
297,The winning sniper targeted the terrorist,He was a top assassin,He,sniper,terrorist
298,The hungry birds gobbled up the crisp seeds,They were an exciting treat,They,seeds,birds
299,The bee explored the pretty flower,It was full of nectar,It,flower,bee
300,The serrated knife punctured the old fence with a satisfying sound,It was a strong implement,It,knife,fence
301,The sailors leapt off the foundering boats,They were making mistakes,They,sailors,boats
302,The imaginative students analyzed the stimulating books,They were embracing their strengths,They,students,books
303,The heart drove blood with unwavering attention,It was a athletic muscle,It,heart,blood
304,The heart beat blood that supported life,It was a brain-enhancing fluid,It,blood,heart
305,The turbulent storm impacted the flight,It was carrying essential supplies,It,flight,storm
306,The hungry birds nibbled on the seeds,They were irresistible,They,seeds,birds
307,The eager students studied the imaginative books,They were breaking new ground,They,students,books
308,The untiring heart circulated blood with unwavering attention,It was a tireless muscle,It,heart,blood
309,The powerful storm destroyed the scheduled flight,It was putting lives in peril,It,storm,flight
310,The heart circulated brain-enhancing blood that rejuvenated cells,It was a crucial fluid,It,blood,heart
311,The acrobatic birds worked hard for the seeds,They were juicy and tender,They,seeds,birds
312,The students analyzed the books,They were stimulating their intellect,They,students,books
313,The robust heart pumped digestive blood that nourished cells,It was a temperature-controlling fluid,It,blood,heart
314,The students created projects based on the books,They were planning their next trip,They,students,books
315,The unswerving heart circulated muscle-oxygenating blood that rejuvenated cells,It was a hormone-transporting fluid,It,blood,heart
316,The self-assured heart pushed blood rapidly,It was a resilient muscle,It,heart,blood
317,The quick heart drove blood with a clear intention,It was a beating organ,It,heart,blood
318,The powerful knife severed the fence easily,It was weathered and decayed,It,fence,knife
319,The innovative people led a march against the government,They were making their voices heard,They,people,government
320,The sailors leapt off the boats,They were not paying attention,They,sailors,boats
321,The birds chewed on the seeds,They were smoky,They,seeds,birds
322,The precise sniper assassinated the dangerous terrorist,He was a veteran marksman,He,sniper,terrorist
323,The unswerving heart drove brain-enhancing blood that maintained life,It was a crucial fluid,It,blood,heart
324,The relentless storm pounded the flight,It was headed for Europe,It,flight,storm
325,The bee flew from the generous flower,It was determined to succeed,It,bee,flower
326,The students examined the books,They were difficult to understand,They,books,students
327,The powerful knife punctured the fence firmly,It was weak and easily damaged,It,fence,knife
328,The knife scratched the fence easily,It was decayed and rotted,It,fence,knife
329,The sailors dropped off the boats,They were ignoring the warnings,They,sailors,boats
330,The toned heart circulated blood with assurance,It was a agile muscle,It,heart,blood
331,The people took a stand against the government,They were committing war crimes,They,government,people
332,The sailors escaped off the well-built boats,They were braving the storm,They,sailors,boats
333,The knife cut through the fence surrounding the park,It was a strong blade,It,knife,fence
334,The powerful knife scratched the weak fence surrounding the garden,It was a old and flimsy,It,fence,knife
335,The pecking birds sampled the seeds,They were irresistible,They,seeds,birds
336,The innovative people initiated a movement against the ineffective government,They were supporting ethnic cleansing,They,government,people
337,The sturdy knife punctured the fence surrounding the park,It was weak and ineffective,It,fence,knife
338,The winning sniper killed the terrorist,He was a talented marksman,He,sniper,terrorist
339,The innovative birds munched on the ripe seeds,They were tantalizing,They,seeds,birds
340,The severe storm prevented the flight,It was causing flash floods,It,storm,flight
341,The sailors plunged off the safe boats,They were not prepared,They,sailors,boats
342,The energetic people marched for their cause against the dismissive government,They were covering up scandals,They,government,people
343,The unstoppable heart drove blood with unwavering attention,It was a resilient muscle,It,heart,blood
344,The birds searched for the overlooked seeds,They were a filling food,They,seeds,birds
345,The toned heart pushed blood with unwavering attention,It was a agile organ,It,heart,blood
346,The knife scratched the fence with precision,It was sharp and powerful,It,knife,fence
347,The bee was determined to find the flower,It was abundant with pollen,It,flower,bee
348,The sailors escaped from the understaffed boats,They were not secured,They,boats,sailors
349,The efficient bee buzzed the flower,It was gathering pollen,It,bee,flower
350,The imaginative bee collected pollen from the flower,It was producing pollen,It,flower,bee
351,The toned heart circulated blood with determination,It was a harmonious muscle,It,heart,blood
352,The knife cut through the fence smoothly,It was unstable and dilapidated,It,fence,knife
353,The violent storm hindered the scheduled flight,It was carrying a VIP,It,flight,storm
354,The bee settled on the generous flower,It was collecting valuable pollen,It,bee,flower
355,The quick-witted birds munched on the seeds,They were a irresistible treat,They,seeds,birds
356,The desperate sailors tumbled off the boats,They were in poor condition,They,boats,sailors
357,The sailors bailed out of the ill-designed boats,They were facing a storm,They,sailors,boats
358,The sailors abandoned the rundown boats,They were braving the storm,They,sailors,boats
359,The students absorbed the books,They were outdated,They,books,students
360,The indomitable heart circulated revitalizing blood that aided digestion,It was a heart-supporting liquid,It,blood,heart
361,The destructive storm forced the flight,It was full of passengers,It,flight,storm
362,The heart drove muscle-oxygenating blood that supported life,It was a temperature-controlling liquid,It,blood,heart
363,The birds reached for the rich seeds,They were trying new things,They,birds,seeds
364,The passionate people led a rally against the government,They were engaging in embezzlement,They,government,people
365,The birds chose the rich seeds,They were tasty,They,seeds,birds
366,The raging storm made the commercial flight,It was flying to Hawaii,It,flight,storm
367,The colorful birds discovered the seeds,They were tasty,They,seeds,birds
368,The adventurous bee ventured to the flower,It was overflowing with nectar,It,flower,bee
369,The sharp knife severed the swimming fence with minimal effort,It was a reliable implement,It,knife,fence
370,The fearless people spoke out against the government,They were violating human dignity,They,government,people
371,The students explored the ancient books,They were divisive,They,books,students
372,The students memorized the books,They were outdated,They,books,students
373,The enthusiastic students immersed themselves in the adventurous books,They were filled with knowledge,They,books,students
374,The swift birds swooped down and ate the seeds,They were a juicy food,They,seeds,birds
375,The resourceful sniper eliminated the terrorist,He was a successful shooter,He,sniper,terrorist
376,The sturdy knife punctured the school fence effortlessly,It was a blocking the entrance,It,fence,knife
377,The sailors threw themselves off the boats,They were not in control,They,boats,sailors
378,The heart pumped blood that aided digestion,It was a blood-pressure-controlling fluid,It,blood,heart
379,The bee sipped nectar from the flower,It was bursting with nectar,It,flower,bee
380,The sailors dived off the equipped boats,They were not properly operated,They,boats,sailors
381,The sniper eliminated the brutal terrorist,He was a bad dealer,He,terrorist,sniper
382,The adventurous bee landed on the flower,It was full of nectar,It,flower,bee
383,The bee perched on the flower,It was obtaining nectar,It,bee,flower
384,The people rebelled against the dismissive government,They were neglecting their duties,They,government,people
385,The hardworking bee hovered near the flower,It was overflowing with nectar,It,flower,bee
386,The passionate people held hands against the government,They were making a stand,They,people,government
387,The smart sailors leaped off the top-heavy boats,They were not thinking ahead,They,sailors,boats
388,The heart beat revitalizing blood that fought infections,It was a life-saving fluid,It,blood,heart
389,The passionate people rebelled against the government,They were seeking justice,They,people,government
390,The bee buzzed the flower,It was ready for another journey,It,bee,flower
391,The students discussed the ancient books,They were living on the edge,They,students,books
392,The heavy-duty knife punctured the construction fence quickly,It was a natural and organic,It,fence,knife
393,The dull knife scraped the construction fence surrounding the garden,It was a rotten and weakened by time,It,fence,knife
394,The storm postponed the morning flight,It was putting lives in peril,It,storm,flight
395,The passionate people formed a human chain against the corrupt government,They were embezzling funds,They,government,people
396,The bee buzzed around the pristine flower,It was tireless,It,bee,flower
397,The storm alarm the international flight,It was producing tornadoes,It,storm,flight
398,The people gathered against the unfair government,They were fighting for respect,They,people,government
399,The strong bee examined the symmetrical flower,It was beautiful,It,flower,bee
